id,name,image
4,CHRIS OFILI,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14997_0882_000(chris_ofili_afro_muses_the_gardener).jpg?mode=max&down.speed=-1&Width=77
7,RAQIB SHAW,https://www.christies.com/img/lotimages//2012/NYR/2012_NYR_02599_0460_000(raqib_shaw_untitled).jpg?mode=max&down.speed=-1&Width=77
10,JIM LAMBIE,https://www.christies.com/img/lotimages//2015/NYR/2015_NYR_03715_0243_000(jim_lambie_the_doors).jpg?mode=max&down.speed=-1&Width=77
14,TRENTON DOYLE HANCOCK,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0125_000().jpg?mode=max&down.speed=-1&Width=77
16,YANG QIAN,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0126_000().jpg?mode=max&down.speed=-1&Width=77
20,WOLFGANG TILLMANS,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02793_0554_000(wolfgang_tillmans_faltenwurf).jpg?mode=max&down.speed=-1&Width=77
23,GILBERT & GEORGE,https://www.christies.com/img/lotimages//2015/NYR/2015_NYR_03790_0063B_000(gilbert_george_they).jpg?mode=max&down.speed=-1&Width=77
26,MIKE BIDLO,https://www.christies.com/img/lotimages//2012/NYR/2012_NYR_02582_0030_000(george_condo_untitled).jpg?mode=max&down.speed=-1&Width=77
29,GEORGE CONDO,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02793_0491_000(george_condo_blue_sky_portrait).jpg?mode=max&down.speed=-1&Width=77
32,DANA SCHUTZ,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02893_0528_000(dana_schutz_the_population).jpg?mode=max&down.speed=-1&Width=77
35,MARK GROTJAHN,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14995_0045B_000(mark_grotjahn_untitled).jpg?mode=max&down.speed=-1&Width=77
39,BERND & HILLA BECHER,https://www.christies.com/img/lotimages//2012/NYR/2012_NYR_02599_0663_000(bernd_hilla_becher_houses).jpg?mode=max&down.speed=-1&Width=77
42,LYNN DAVIS,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02875_0244_000(lynn_davis_three_gorges_yangtze_river_china).jpg?mode=max&down.speed=-1&Width=77
45,JORG SASSE,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0183_000().jpg?mode=max&down.speed=-1&Width=77
48,JAMES CASEBERE,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02727_0379_000(james_casebere_monticello_3).jpg?mode=max&down.speed=-1&Width=77
51,ANNIKA VON HAUSSWOLFF,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0195_000().jpg?mode=max&down.speed=-1&Width=77
54,STEPHEN CONROY,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0200_000().jpg?mode=max&down.speed=-1&Width=77
57,PIOTR UKLANSKI,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02893_0557_000(piotr_uklanski_the_nazis).jpg?mode=max&down.speed=-1&Width=77
61,FRANZ ACKERMANN,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02892_0166_000(franz_ackermann_untitled).jpg?mode=max&down.speed=-1&Width=77
64,CAIO FONSECA,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02727_0279_000(caio_fonseca_pietrasanta_p9645).jpg?mode=max&down.speed=-1&Width=77
67,BERNAR VENET,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02792_0271_000(bernar_venet_795_degrees_arcs).jpg?mode=max&down.speed=-1&Width=77
70,MICHAEL ASHKIN,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0225_000().jpg?mode=max&down.speed=-1&Width=77
72,JORDAN TINKER,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0228_000().jpg?mode=max&down.speed=-1&Width=77
76,DINH Q. LE,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0236_000().jpg?mode=max&down.speed=-1&Width=77
79,ROSA LOY,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02727_0270_000(rosa_loy_handwerk).jpg?mode=max&down.speed=-1&Width=77
82,JOSE MARíA SICILIA,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0247_000().jpg?mode=max&down.speed=-1&Width=77
85,CARROLL DUNHAM,https://www.christies.com/img/lotimages//2013/NYR/2013_NYR_02793_0444_000(carroll_dunham_untitled).jpg?mode=max&down.speed=-1&Width=77
88,RALPH GOINGS,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02892_0297_000(ralph_goings_amsterdam_diner).jpg?mode=max&down.speed=-1&Width=77
90,WILLIAM THEOPHILUS BROWN,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0259_000().jpg?mode=max&down.speed=-1&Width=77
94,JOSEPH STASHKEVETCH,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01806_0263_000().jpg?mode=max&down.speed=-1&Width=77
96,ED RUSCHA,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02891_0030_000(ed_ruscha_smash).jpg?mode=max&down.speed=-1&Width=77
99,CHRISTO,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14996_0736_000(christo_wrapped_reichstag).jpg?mode=max&down.speed=-1&Width=77
103,BARRY LE VA,https://www.christies.com/img/lotimages//2008/NYR/2008_NYR_01970_0245_000().jpg?mode=max&down.speed=-1&Width=77
105,MARK DI SUVERO,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14997_0945_000(mark_di_suvero_ibu).jpg?mode=max&down.speed=-1&Width=77
109,ALAN SARET,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14996_0621_000(alan_saret_mainline_polychrome_permutation_cluster).jpg?mode=max&down.speed=-1&Width=77
112,RONALD DAVIS,https://www.christies.com/img/lotimages//2008/NYR/2008_NYR_02022_0162_000().jpg?mode=max&down.speed=-1&Width=77
115,CARL ANDRE,https://www.christies.com/img/lotimages//2017/NYR/2017_NYR_14997_0849_000(carl_andre_13_venifer).jpg?mode=max&down.speed=-1&Width=77
122,CONRAD MARCA-RELLI,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02893_0430_000(conrad_marca-relli_n-m-5).jpg?mode=max&down.speed=-1&Width=77
