id,title,internal_id,sale_date,sum
2,Post-War And Contemporary First Open,Sale 1970,2008-04-01,9650175
3,First Open Post-War and Contemporary Art,Sale 2150,2009-03-11,2842375
4,First Open Post-War and Contemporary Art,Sale 2294,2010-03-11,7395400
5,First Open Post-War and Contemporary Art,Sale 2421,2011-03-10,9664775
7,Post -War And Contemporary Art Morning Session,Sale 1998,2008-05-14,44753700
8,Post War and Contemporary Art Morning Session,Sale 2168,2009-05-14,17934600
9,Post-War and Contemporary Art Morning Session Including Works from the Collection of Michael Crichton,Sale 2315,2010-05-12,41211725
10,Post-War and Contemporary Art Morning Session,Sale 2441,2011-05-12,31406625
11,Post -War and Contemporary Art Afternoon Session,Sale 1836,2007-05-17,37696000
12,Post -War And Contemporary Art Afternoon Session,Sale 1999,2008-05-14,30676300
13,Post War and Contemporary Art Afternoon Session,Sale 2169,2009-05-14,13650550
14,Post-War and Contemporary Art Afternoon Session,Sale 2316,2010-05-12,18619450
16,Post-War and Contemporary Art Evening Sale,Sale 1834,2007-05-16,294150400
17,Post War And Contemporary Art Evening Sale,Sale 1997,2008-05-13,304574600
18,Post War and Contemporary Evening Sale,Sale 2167,2009-05-13,93734500
19,Post-War and Contemporary Art Evening Sale,Sale 2314,2010-05-11,138583500
20,Post-War and Contemporary Art Evening Sale,Sale 2440,2011-05-11,290203500
21,First Open,Sale 2341,2010-09-22,7505513
22,First Open Post-War & Contemporary Art,Sale 2465,2011-09-21,9876000
23,First Open Post-War and Contemporary Art,Sale 2191,2009-09-23,4371250
24,First Open Post -War and Contemporary Art,Sale 2022,2008-09-09,5790050
25,Post-War & Contemporary Art Morning Session,Sale 2049,2008-11-13,25168550
26,Post-War & Contemporary Morning Session,Sale 2220,2009-11-11,29239800
27,Post-War and Contemporary Morning Session,Sale 2356,2010-11-11,41396500
28,Post-War and Contemporary Art Session I including Works from the Peter Norton Collection,Sale 2482,2011-11-09,29839700
29,Post-War & Contemporary Afternoon Sale,Sale 2050,2008-11-13,13213650
30,Post-War & Contemporary Afternoon Session,Sale 2221,2009-11-11,14421025
31,Post-War and Contemporary Afternoon Session,Sale 2357,2010-11-11,25933250
32,Post-War and Contemporary Art Session II,Sale 2481,2011-11-09,40656875
34,Post-War & Contemporary Evening Sale,Sale 2219,2009-11-10,74151500
35,Post-War and Contemporary Evening Sale,Sale 2355,2010-11-10,270550500
36,Post-War Contemporary Evening Sale,Sale 2480,2011-11-08,216473500
37,First Open Post-War Contemporary Art,Sale 2541,2012-03-07,10501625
