id,title,internal_id,sale_date,sum
10,Post-War and Contemporary Art Evening Sale,Sale 14187,2017-05-17,448062000
11,Post-War & Contemporary Evening Sale,Sale 2785,2013-05-15,487738250
12,Post-War and Contemporary Art Evening Sale,Sale 3740,2015-05-13,648287000
13,Post-War and Contemporary Evening Sale,Sale 2847,2014-05-13,746149000
15,Post-War & Contemporary Art Evening Sale,Sale 2891,2014-11-12,852887000
6,Post-War and Contemporary Art Evening Sale,Sale 12152,2016-05-10,316103000
14,Post-War & Contemporary Art Evening Sale,Sale 14995,2017-11-15,785942250
7,Post-War and Contemporary Evening Sale,Sale 3790,2015-11-10,331809000
8,Post-War and Contemporary Art Evening Sale,Sale 2557,2012-05-08,386003000
9,Post-War & Contemporary Art Evening Sale,Sale 2597,2012-11-14,412253100
